Name,Website,Type,State,Address,Latitude,Longitude,Land Ownership,Permits Required,Permit Details,Seasonal Closure Notes,Dog Friendly,Open All Year,Clothing Optional,Overnight Stay,Accessibility
Jackson Wellsprings,https://jacksonwellsprings.com/,Commercial,OR,"150 E Main St, Jacksonville, OR 97530",42.3349,-122.9621,Private,No,,,Yes (leashed),Yes,No,Yes,Limited
Alvord Hot Springs,https://www.alvordhotsprings.com/,Natural,OR,"36095 E Steens Rd, Princeton, OR 97721",42.5226,-118.2053,Private,No,"$20 day use, $40 camping - call 541-589-2282",Check operator for seasonal hours,Yes (leashed - not in pools),Yes,Yes,Yes (camping/cabins/bunkhouses),Limited
Summer Lake Hot Springs,https://www.summerlakehotsprings.com/,Commercial,OR,"12931 OR-78, Summer Lake, OR 97640",42.7756,-119.7149,Private,No,,,Yes (leashed),Yes,No,Yes (cabins/camping/RV),Moderate
Umpqua Hot Springs,https://www.fs.usda.gov/recarea/umpqua/recarea/?recid=5962,Natural,OR,Umpqua National Forest (near Toketee/Idleyld Park),43.29512,-122.36587,USFS (Umpqua NF),Yes,Forest access rules; check Ranger District - $5 day use fee or Northwest Forest Pass,Road closes in winter (requires additional 2 mile hike),Yes (leashed - not in pools),Yes (limited winter access),Yes,No (day use only - camping at nearby Toketee Lake CG),Limited - steep 0.3 mile hike
Crystal Crane Hot Springs,http://www.cranehotsprings.com/,Commercial,OR,"59315 OR-78, Burns, OR 97720",43.43901,-118.64154,Private,No,,,Yes (leashed),Yes,No,Yes (teepees/cabins/RV),Moderate
Paulina Lake Hot Springs,https://www.fs.usda.gov/recarea/centraloregon/recarea/?recid=7135,Natural,OR,"Paulina Lake, Newberry National Volcanic Monument (no street address)",43.5286,-121.3656,USFS / BLM (Newberry NM),Yes,Follow monument rules; backcountry regs apply,Seasonal; geothermal features subject to park rules,Yes (leashed),No,Yes,Yes (camping nearby),Limited - 1.2 mile hike or paddle
McCredie Springs,https://en.wikipedia.org/wiki/McCredie_Springs,Natural,OR,"McCredie Springs area (Willamette NF, near Hwy 58)",43.7097,-122.2889,USFS (Willamette NF),Yes,Check USFS for trail/road status,Seasonal - best spring/fall,Yes (leashed),Yes,Yes,No (camping nearby),Limited
Snively Hot Springs,https://www.blm.gov/visit/snively-hot-springs-recreation-site,Natural,OR,Snively Hot Springs area near Ontario,43.73041,-117.20377,BLM,No,,,Yes (leashed),Yes,Yes,No,Limited
Sunriver Resort,https://sunriver-resort.com/,Commercial,OR,"17600 Center Dr, Sunriver, OR 97707",43.8731,-121.4383,Private,No,,"Multiple pools, some heated seasonally",No,Yes,No,Yes,Yes
Tetherow Hotel & Resort,https://tetherow.com/,Commercial,OR,"61000 Tetherow Rd, Bend, OR 97702",44.0566,-121.1825,Private,No,,Heated outdoor pool noted,No,Yes,No,Yes,Yes
